"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"PURCHASE-URL";"VALUE";
"R27";"DNI/68";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-071K2L";"";"";"";"";"";"";"1.2K";
"R28";"0R";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-071K2L";"";"";"";"";"";"";"1.2K";
"R29";"180";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R30";"DNI/180";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-071K2L";"";"";"";"";"";"";"1.2K";
"R31";"68";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R32";"1k";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R33";"DNI/68";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-071K2L";"";"";"";"";"";"";"1.2K";
"R34";"100";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R35";"220";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S1";"RA-SPST";"RA-SPST";"RA-SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S2";"DTSM-6";"DTSM-6";"DTSM-6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S3";"DTSM-6";"DTSM-6";"DTSM-6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"Raspberry Pi Pico";"RASPBERRY_PICO-NO_DEBUG";"PICO-PKG-NO_DEBUG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"TS12A4514PG4";"TS12A4515PG4";"P8_TEX";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"TS12A4515PG4";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";
"U3";"TS12A4516DR";"TS12A4516DR";"D8";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"296-21911-1-ND";"296-21911-2-ND";"296-21911-6-ND";"2156-TS12A4516DR-ND";"";"";"TS12A4516DR";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";
"U4";"TS12A4514PG4";"TS12A4515PG4";"P8_TEX";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"TS12A4515PG4";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";
"U5";"TS12A4516DR";"TS12A4516DR";"D8";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"296-21911-1-ND";"296-21911-2-ND";"296-21911-6-ND";"2156-TS12A4516DR-ND";"";"";"TS12A4516DR";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";
"U6";"SRFRS0W5";"SR_FRS_0W5";"SR_FRS_0W5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U7";"U11";"B39871B3725U410";"B39871B3725U410_TDK";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"B39871B3725U410";"";"TDK";"";"";"";"";"";"";"";"";"";"";"";
"U8";"TS12A4514PG4";"TS12A4515PG4";"P8_TEX";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"TS12A4515PG4";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";
"U9";"TS12A4516DR";"TS12A4516DR";"D8";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"296-21911-1-ND";"296-21911-2-ND";"296-21911-6-ND";"2156-TS12A4516DR-ND";"";"";"TS12A4516DR";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";
"X1";"SC1464-ND";"PG203J";"PG203J";"MIC/HEADPHONE JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"X11";"SMA-VERT";"SMA-VERT";"SMA-VERT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
