"Part";"Value";"Device";"Package";"Description";"";
"R35";"220";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"S1";"RA-SPST";"RA-SPST";"RA-SPST";"";"";
"S2";"DNI/DTSM-6";"DTSM-6";"DTSM-6";"";"";
"S3";"DNI/DTSM-6";"DTSM-6";"DTSM-6";"";"";
"U1";"Raspberry Pi Pico";"RASPBERRY_PICO-NO_DEBUG";"PICO-PKG-NO_DEBUG";"";"";
"U2";"TS12A4514PG4";"TS12A4515PG4";"P8_TEX";"";"";
"U4";"TS12A4514PG4";"TS12A4515PG4";"P8_TEX";"";"";
"U6";"SRFRS0W5";"SR_FRS_0W5";"SR_FRS_0W5";"";"";
"U7";"U7";"B39871B3725U410";"B39871B3725U410_TDK";"";"";
"U8";"TS12A4514PG4";"TS12A4515PG4";"P8_TEX";"";"";
"U9";"TS12A4514DBVR";"TS12A4514DBVR";"DBV5";"";"";
"U10";"SI5351A-B-GT";"SI5351A-B-GT";"10MSOP_3X3_SIL";"";"";
"U11";"TS12A4514DBVR";"TS12A4514DBVR";"DBV5";"";"";
"U12";"TS12A4514DBVR";"TS12A4514DBVR";"DBV5";"";"";
"X1";"SC1464-ND";"PG203J";"PG203J";"MIC/HEADPHONE JACK";"";
"X11";"SMA-VERT";"SMA-VERT";"SMA-VERT";"";"";
"Y1";"ABM8G-25.000MHZ-07-B1G-T3";"ABM8G-25.000MHZ-07-B1G-T3";"CRYSTAL_ABM8G_ABR";"";"";
